channel1,channel2,channel3
111025,272088,342973
111009,272073,342918
110969,271962,342912
110980,271863,342772
110994,272009,342912
111019,271932,342750
111052,271973,342820
111067,271945,343003
111100,271798,342894
111132,271938,342806
111132,271948,342823
111177,271965,342856
111226,271936,342767
111203,271917,342714
111192,271869,342757
111106,271932,342788
110993,271848,342777
110821,271930,342938
110609,271841,342789
110463,271822,342668
110370,271763,342639
110295,271872,342892
110177,271810,342858
110142,271920,342834
110097,271957,342909
110086,271939,342864
110047,271936,342859
110022,271990,342951
110069,272003,342735
110040,272007,342955
110039,272120,342910
110007,272118,342886
110019,272098,342993
110033,272158,342977
110016,272258,343046
110061,272254,342997
110113,272250,343026
110132,272311,342994
110170,272275,343108
110195,272328,343050
110251,272401,343090
110276,272342,343110
110326,272365,343185
110358,272412,343182
110430,272537,343234
110448,272397,343296
110543,272439,343410
110582,272613,343358
110666,272606,343307
110701,272671,343320
110738,272712,343326
110649,272667,343390
110602,272727,343347
110503,272578,343401
110382,272684,343373
110301,272620,343277
110206,272501,343415
110028,272372,343272
110058,272372,343231
110073,272439,343222
110114,272436,343123
110111,272472,343355
110142,272428,343219
110134,272398,343277
110124,272427,343409
110129,272530,343400
110145,272455,343325
110151,272378,343321
110180,272354,343282
110182,272412,343244
110147,272303,343418
110168,272251,343257
110163,272274,343389
110192,272258,343198
110172,272251,343176
110231,272339,343298
110219,272245,343344
110213,272390,343298
110246,272353,343514
110241,272320,343468
110271,272309,343430
110226,272315,343466
110132,272122,343331
110043,272215,343374
109897,272087,343331
109734,272154,343297
109668,272098,343213
109591,272110,343325
109544,272073,343315
109508,272009,343316
109482,272056,343270
109439,272035,343475
109419,272000,343426
109395,272019,343343
109368,271991,343236
109376,272084,343291
109384,271997,343432
109386,271918,343251
109372,272116,343252
109347,271891,343268
109371,271997,343294
109325,272109,343349
109312,272059,343392
109326,271979,343143
109319,272008,343246
109337,271963,343257
109379,272026,343247
109398,271917,343274
109402,271986,343258
109430,271917,343327
109426,271918,343305
109469,271968,343327
109453,272016,343330
109531,272046,343390
109493,272030,343306
109588,272150,343210
109581,271966,343186
109644,272051,343315
109648,272113,343298
109711,272115,343298
109782,272123,343418
109794,272098,343356
109779,272201,343340
109705,272158,343402
109600,272076,343282
109453,272027,343394
109317,272016,343105
109184,271966,343229
109085,271920,343197
109000,271906,343192
108893,271787,343088
108836,271782,343173
108763,271773,343110
108737,271810,343157
108763,271825,343082
108706,271985,343247
108680,271892,343177
108675,271963,343192
108654,271987,343345
108587,272040,343239
108551,272092,343269
108473,272136,343288
108423,272246,343377
108423,272229,343437
108402,272239,343414
108359,272196,343335
108344,272210,343473
108365,272243,343496
108396,272167,343320
108422,272142,343377
108412,272257,343463
108457,272369,343421
108495,272403,343424
108472,272338,343548
108496,272378,343537
108512,272529,343580
108574,272442,343668
108587,272450,343528
108625,272527,343518
108668,272388,343673
108686,272582,343374
108730,272593,343605
108750,272619,343700
108778,272618,343559
108803,272598,343734
108789,272491,343629
108745,272503,343636
108615,272524,343676
108516,272484,343682
108357,272368,343628
108279,272391,343520
108192,272361,343559
108115,272369,343587
108078,272550,343493
108061,272486,343485
108009,272486,343648
108040,272464,343488
108039,272528,343562
108071,272455,343504
108082,272527,343594
108039,272491,343553
108037,272555,343741
108003,272532,343521
107988,272619,343481
107943,272629,343672
107931,272507,343537
107897,272537,343532
107926,272501,343534
107950,272489,343412
107951,272513,343644
107973,272524,343551
108001,272566,343547
108014,272588,343604
108055,272683,343533
108063,272711,343486
108123,272672,343600
108136,272591,343620
108138,272709,343608
108212,272654,343635
108211,272679,343530
108236,272780,343583
108255,272807,343628
108283,272730,343650
108308,272644,343662
108308,272634,343545
108377,272751,343681
108376,272795,343561
108442,272774,343708
108467,272783,343743
108459,272758,343654
108438,272752,343632
108390,272745,343551
108252,272704,343789
108157,272626,343586
108020,272609,343569
107923,272629,343438
107855,272586,343538
107800,272654,343717
107760,272655,343645
107767,272687,343547
107715,272807,343618
107760,272775,343553
107732,272822,343562
107737,272737,343678
107753,272896,343706
107800,272794,343795
107763,272762,343669
107744,272786,343682
107731,272694,343654
107743,272746,343744
107702,272785,343717
107653,272721,343517
107636,272702,343619
107656,272737,343686
107632,272676,343570
107706,272693,343570
107692,272712,343656
107733,272727,343570
107731,272681,343639
107777,272740,343597
107838,272792,343541
107849,272748,343580
107884,272707,343580
107923,272732,343592
107926,272824,343623
107952,272743,343650
107989,272763,343575
108023,272891,343670
108045,272829,343676
108102,272814,343705
108116,272770,343692
108166,272859,343736
108194,272853,343654
108237,272982,343718
108250,272783,343802
108222,272889,343664
108164,272815,343567
108056,272804,343769
107925,272791,343578
107813,272718,343659
107687,272817,343491
107592,272671,343516
107507,272695,343418
107487,272662,343428
107419,272707,343473
107379,272578,343451
107398,272643,343430
107350,272643,343390
107325,272618,343443
107378,272608,343392
107360,272659,343414
107323,272604,343474
107320,272547,343565
107307,272591,343387
107277,272595,343430
107233,272532,343444
107214,272586,343500
107229,272552,343406
107254,272580,343361
107246,272520,343530
107232,272618,343296
107259,272677,343305
107311,272680,343379
107294,272720,343418
107347,272613,343407
107323,272666,343274
107322,272326,342954
107396,272341,343079
107391,272467,342999
107446,272470,343083
107434,272419,343005
107393,272399,343071
107263,272262,343044
107117,272318,343016
106979,272261,343012
106869,272318,342996
106753,272249,343017
106681,272255,342908
106608,272288,342994
106628,272231,342915
106578,272381,342945
106575,272263,343023
106550,272342,343044
106612,272350,343024
106595,272377,343071
106577,272276,343002
106574,272305,343015
106601,272360,342910
106554,272314,342887
106546,272367,343056
106562,272352,342939
106563,272404,343043
106579,272440,343094
106660,272437,343106
106745,272518,343051
106801,272504,343019
106845,272648,343323
106921,272674,343209
106934,272810,343351
106960,272767,343315
106999,272730,343420
107015,272864,343465
107021,272775,343338
107047,272792,343416
107070,272774,343322
107082,272672,343375
107091,272627,343261
107123,272595,343163
107216,272780,343306
