channel1,channel2,channel3
98895,269396,345725
98971,269401,345520
98988,269498,345563
99010,269392,345649
99044,269427,345513
99063,269396,345580
99115,269353,345469
99154,269451,345514
99217,269342,345563
99311,269502,345656
99352,269425,345566
99444,269481,345464
99486,269512,345495
99566,269474,345647
99667,269501,345727
99693,269528,345702
99719,269460,345615
99566,269536,345574
99347,269420,345659
99144,269474,345635
98953,269553,345626
98835,269593,345601
98748,269354,345594
98725,269424,345512
98702,269461,345577
98766,269330,345628
98826,269557,345605
98856,269506,345579
98978,269522,345476
98985,269474,345488
99007,269429,345596
99052,269494,345440
99075,269441,345621
99103,269487,345513
99121,269479,345387
99163,269430,345520
99192,269463,345507
99302,269545,345484
99322,269518,345589
99424,269392,345601
99472,269487,345434
99556,269471,345561
99636,269528,345632
99720,269599,345609
99816,269566,345552
99815,269554,345467
99695,269491,345364
99470,269410,345378
99245,269451,345441
99024,269510,345467
98869,269476,345492
98774,269373,345454
98718,269372,345395
98647,269354,345355
98683,269405,345384
98707,269435,345440
98760,269497,345437
98811,269496,345382
98875,269398,345346
98920,269392,345351
98969,269371,345417
98993,269520,345557
99035,269482,345486
99111,269458,345450
99155,269466,345620
99233,269614,345619
99360,269603,345438
99406,269630,345468
99472,269631,345525
99527,269566,345561
99612,269765,345597
99719,269677,345561
99734,269633,345468
99814,269417,345398
99857,269356,345493
99879,269431,345361
99800,269393,345446
99630,269396,345462
99376,269410,345416
99137,269396,345282
98947,269400,345499
98842,269394,345359
98772,269389,345377
98732,269320,345353
98688,269304,345202
98726,269440,345352
98824,269386,345241
98887,269424,345271
98934,269274,345320
98983,269325,345291
99035,269307,345387
99037,269415,345292
99078,269346,345225
99060,269386,345216
99119,269179,345333
99183,269275,345460
99245,269376,345242
99322,269382,345278
99350,269364,345322
99441,269308,345287
99497,269331,345349
99548,269279,345390
99584,269359,345237
99713,269484,345187
99794,269342,345387
99873,269441,345408
99929,269462,345269
99900,269349,345411
99752,269325,345321
99504,269266,345318
99281,269213,345314
99086,269306,345296
98981,269360,345298
98926,269346,345283
98875,269213,345202
98877,269330,345225
98929,269393,345306
